,lmb,lngdp,lp,fcn,lfc,lg,lm,lnda,lnfa,lryo,gdp,pi,lel,lgdp,lol,lpi,lva
1989-10-01,9.15377,10.6781,0.81093,491.488,9.36405,8.43468,9.84374,9.08317,6.46798,5.33382,49498.6,87.3,7.59382,10.8801,6.36462,4.4051,8.68637
1990-01-01,9.17906,10.703,0.832909,451.723,9.39168,8.49658,9.88979,9.1093,6.48162,5.32109,63782.3,77.6,8.30339,10.8917,6.41951,4.48736,8.71104
1990-04-01,9.20432,10.7285,0.854415,-215.121,9.3591,8.55834,9.93586,9.14,6.42843,5.48849,55657.8,87.4,8.72653,10.9075,6.49154,4.523,8.80092
1990-07-01,9.22965,10.7843,0.871293,-453.025,9.34139,8.62029,9.98188,9.17011,6.3789,5.67034,49600,113.4,9.06581,10.9639,6.57318,4.62493,8.90814
1990-10-01,9.25503,10.8092,0.891998,-559.577,9.29857,8.6822,10.0279,9.18359,6.58057,5.69658,52537.4,121.6,9.29855,10.9391,6.67856,4.74098,8.91574
1991-01-01,9.26303,10.7976,0.924259,-2081.33,9.07124,8.77987,10.0765,9.17939,6.74026,5.73012,71255.8,100.6,9.38913,10.9987,6.80499,4.74245,8.95821
1991-04-01,9.27968,10.8681,0.970779,-574.087,8.98436,8.84908,10.1258,9.18224,6.90279,5.66136,65680.4,113,9.49869,11.0744,6.93894,4.77169,9.01298
1991-07-01,9.30274,10.864,1.02245,-1536.39,8.79527,8.92705,10.1806,9.19345,7.03485,5.54148,55562.9,137.3,9.62643,11.0793,7.07019,4.82447,9.02174
1991-10-01,9.33715,10.8815,1.08181,-1778.19,8.49206,8.98457,10.2362,9.23394,7.01498,5.54323,64628.8,134.7,9.71934,11.1509,7.21765,4.8443,9.0212
1992-01-01,9.37059,10.8795,1.14422,474.813,8.57651,9.02305,10.2911,9.2707,7.01733,5.55568,76672.7,113.6,9.59522,11.0667,7.09727,4.86085,9.02382
1992-04-01,9.40302,10.8739,1.20297,49.8599,8.56483,9.09279,10.3473,9.30477,7.03408,5.55935,63095.4,125.8,9.4783,11.0342,7.00432,4.87312,8.93747
1992-07-01,9.43978,10.8837,1.25276,-632.682,8.45217,9.16461,10.4008,9.34385,7.04813,5.55876,50425.5,132.5,9.36331,10.9824,6.91652,4.7954,8.91498
1992-10-01,9.47785,10.9276,1.30019,-78.9906,8.45308,9.25158,10.4555,9.37886,7.11597,5.56412,63252.1,126.7,9.21309,11.136,6.84318,4.78249,8.97658
1993-01-01,9.52369,10.9068,1.34547,-56.2131,8.43248,9.43076,10.5115,9.43426,7.065,5.55583,78787.1,112.5,9.1457,11.0903,6.94872,4.85034,8.92501
1993-04-01,9.56514,10.8593,1.39128,-50.7525,8.40202,9.64562,10.5743,9.43584,7.45559,5.50705,64658.2,118,9.08378,11.0588,7.06954,4.80402,8.9229
1993-07-01,9.5992,10.8395,1.44456,3.96238,8.40958,9.7625,10.6383,9.40767,7.85226,5.44051,51904.1,132.7,9.02252,11.0045,7.18793,4.80481,8.85183
1993-10-01,9.64485,10.8742,1.5063,-52.9968,8.41433,9.89576,10.7105,9.40571,8.09693,5.37361,57417.8,122,8.95558,11.0501,7.312,4.73883,8.89965
1994-01-01,9.69818,10.9297,1.5707,1212.34,8.65191,9.97929,10.7793,9.40247,8.3356,5.32705,80229.2,105.9,8.98282,11.1067,7.63297,4.7922,8.96105
1994-04-01,9.75202,10.9055,1.64094,1783.5,8.91086,10.0554,10.8451,9.4271,8.4698,5.3225,66266.8,125.5,9.01376,11.083,7.88889,4.86371,8.94187
