,GDP,FEDR,CPI,Loan
1955-01-01,3.428750149,0.127104798,-0.910540298,5.343808668
1955-04-01,3.435764759,0.176091259,-0.911135037,5.360742053
1955-07-01,3.441553751,0.28780173,-0.910810533,5.376554061
1955-10-01,3.444169755,0.372912003,-0.909514936,5.390720735
1956-01-01,3.442479769,0.394451681,-0.909461037,5.403459149
1956-04-01,3.446055386,0.42975228,-0.906613899,5.413907276
1956-07-01,3.44569759,0.44870632,-0.902139342,5.422810114
1956-10-01,3.452736853,0.46686762,-0.898445442,5.431778243
1957-01-01,3.455530047,0.46686762,-0.894886918,5.440714959
1957-04-01,3.454570482,0.477121255,-0.891202256,5.448703284
1957-07-01,3.458773781,0.509202522,-0.887343665,5.456016717
1957-10-01,3.454295931,0.511883361,-0.885248705,5.460781612
1958-01-01,3.442902882,0.269512944,-0.880130655,5.465844649
1958-04-01,3.445744276,-0.026872146,-0.877218612,5.471731131
1958-07-01,3.455682165,0.120573931,-0.877468882,5.477038313
1958-10-01,3.465724798,0.334453751,-0.877018499,5.489160253
1959-01-01,3.473720477,0.409933123,-0.876268897,5.50116862
1959-04-01,3.484157424,0.488550717,-0.875520586,5.515044487
1959-07-01,3.483316224,0.553883027,-0.873283359,5.528003546
1959-10-01,3.48502543,0.600972896,-0.870663099,5.538677733
1960-01-01,3.494599796,0.59439255,-0.870268957,5.54831462
1960-04-01,3.492941889,0.568201724,-0.867666767,5.557904616
1960-07-01,3.494029299,0.46834733,-0.86742208,5.565834953
1960-10-01,3.488733984,0.361727836,-0.864642352,5.57313434
1961-01-01,3.491683793,0.301029996,-0.863768227,5.580646604
1961-04-01,3.499673339,0.238046103,-0.863913792,5.586918153
1961-07-01,3.506856655,0.225309282,-0.862218557,5.595922591
1961-10-01,3.515569201,0.380211242,-0.86159058,5.607307308
1962-01-01,3.523330177,0.390935107,-0.859904371,5.616179848
1962-04-01,3.527977713,0.416640507,-0.858272585,5.625574477
1962-07-01,3.532091606,0.45484486,-0.857028873,5.636497915
1962-10-01,3.533772058,0.465382851,-0.855979276,5.647847216
1963-01-01,3.5385863,0.472756449,-0.85459958,5.657489106
1963-04-01,3.544204515,0.471291711,-0.853792826,5.669330667
1963-07-01,3.552607386,0.522444234,-0.851145834,5.682353631
1963-10-01,3.555698895,0.537819095,-0.84996933,5.694053339
1964-01-01,3.564985455,0.539076099,-0.848187125,5.705147548
1964-04-01,3.570122451,0.542825427,-0.847485632,5.716499219
