,GDP,FEDR,CPI,Loan
1955-10-01,0.449715066,0.372912003,-0.112610282,0.877876996
1956-01-01,0.195444405,0.394451681,-0.183726883,0.796850428
1956-04-01,0.130802403,0.42975228,-0.460758176,0.694742666
1956-07-01,0.044360038,0.44870632,-0.810937095,0.595270662
1956-10-01,0.297956261,0.46686762,-1.211222312,0.524091942
1957-01-01,0.274942215,0.46686762,-1.293492303,0.49516332
1957-04-01,0.257506405,0.477121255,-1.212349965,0.477486201
1957-07-01,0.174844718,0.509202522,-1.235665126,0.446234602
1957-10-01,-0.035714231,0.511883361,-1.077031389,0.368823825
1958-01-01,-0.337743869,0.269512944,-1.242321922,0.31459531
1958-04-01,-0.376708794,-0.026872146,-1.141052041,0.288019902
1958-07-01,0.040130725,0.120573931,-0.878829074,0.29769916
1958-10-01,0.662868422,0.334453751,-0.353601591,0.426569094
1959-01-01,0.811905898,0.409933123,-0.108264347,0.537992242
1959-04-01,0.824012674,0.488550717,-0.222035908,0.693918352
1959-07-01,0.507582887,0.553883027,-0.425890674,0.707636345
1959-10-01,0.325442219,0.600972896,-0.639734905,0.681838998
1960-01-01,0.299710109,0.59439255,-0.5998293,0.603261371
1960-04-01,0.276336238,0.568201724,-0.643158024,0.540901788
1960-07-01,0.258358775,0.46834733,-0.372247199,0.490319555
1960-10-01,-0.167853612,0.361727836,-0.646536333,0.447338006
1961-01-01,-0.036018234,0.301029996,-0.449313048,0.409182769
1961-04-01,0.161533849,0.238046103,-0.404449931,0.378796716
1961-07-01,0.519462679,0.225309282,-0.280323419,0.408894701
1961-10-01,0.684065609,0.380211242,-0.252110107,0.477735035
1962-01-01,0.675972747,0.390935107,-0.464099663,0.52375378
1962-04-01,0.602278909,0.416640507,-0.457653337,0.529883777
1962-07-01,0.46997809,0.45484486,-0.529451819,0.520581545
1962-10-01,0.296363965,0.465382851,-0.456457152,0.563859578
1963-01-01,0.30069881,0.472756449,-0.427953201,0.567313243
1963-04-01,0.342938699,0.471291711,-0.377589029,0.58250269
1963-07-01,0.533009138,0.522444234,-0.56466811,0.610965801
1963-10-01,0.483599764,0.537819095,-0.541803449,0.646297895
1964-01-01,0.586335803,0.539076099,-0.656564547,0.631765602
1964-04-01,0.493020002,0.542825427,-0.430032299,0.60090572
1964-07-01,0.570498138,0.539076099,-0.407531058,0.586112107
1964-10-01,0.351455095,0.553883027,-0.434086523,0.562718102
1965-01-01,0.503655246,0.598790507,-0.510232839,0.603617086
1965-04-01,0.503650171,0.610660163,-0.721915738,0.608648277
1965-07-01,0.704898528,0.609594409,-0.638975062,0.60161571
1965-10-01,0.689607939,0.620136055,-0.751714367,0.550850001
1966-01-01,0.819455112,0.658964843,-0.905551386,0.558058273
1966-04-01,0.624170438,0.691081492,-1.220018497,0.579099905
1966-07-01,0.427910849,0.733197265,-1.397648198,0.492319761
1966-10-01,0.236402603,0.745074792,-1.344042339,0.368525525
1967-01-01,0.296706173,0.683047038,-1.010987109,0.3162082
1967-04-01,0.221875233,0.600972896,-0.880136859,0.28786487
1967-07-01,0.222522553,0.589949601,-0.982115181,0.359838721
